trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.2, 'e': 0.36399999999999944}",25,8,8.319750331951049,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.35999999999999943}",20,3,-25.702209134943775,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.35599999999999943}",20,0,13.444689321274401,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.2, 'e': 0.3519999999999994}",20,3,-45.63616923383903,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.2, 'e': 0.3479999999999994}",25,3,-17.59741719545952,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.2, 'e': 0.3439999999999994}",25,4,-16.90666425547038,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.3399999999999994}",20,8,-15.193208955273022,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.3359999999999994}",25,16,16.833165501493262,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.3319999999999994}",25,15,16.498970641506073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.3279999999999994}",30,16,5.978069480994092,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.3239999999999994}",25,7,36.18127850441422,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.3199999999999994}",25,7,-16.938692090848107,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.2, 'e': 0.3159999999999994}",30,15,29.310830492652503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.3119999999999994}",25,17,15.00394546939742,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.3079999999999994}",20,13,1.4204744657251887,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.3039999999999994}",25,3,10.03551738285355,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.2999999999999994}",35,0,33.7381399175974,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.2, 'e': 0.2959999999999994}",20,5,-41.93754604274956,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.2, 'e': 0.29199999999999937}",20,0,-16.32433944804114,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
178,False,"{'a': 0.2, 'e': 0.28799999999999937}",20,0,0.263095798326499,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.28399999999999936}",25,17,-50.767429412024576,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.2, 'e': 0.27999999999999936}",25,11,2.3365881952673835,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.27599999999999936}",20,0,-1.9084073493468423,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.2, 'e': 0.27199999999999935}",20,5,13.100733015508649,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.26799999999999935}",20,11,-78.40472243448502,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
184,False,"{'a': 0.2, 'e': 0.26399999999999935}",20,14,12.031551119204668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.25999999999999934}",25,17,17.664976884848702,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.25599999999999934}",25,20,9.449062276311825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.25199999999999934}",25,11,21.411948094729908,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.24799999999999933}",20,12,16.940845596472276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.24399999999999933}",30,19,7.316539759838604,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.23999999999999932}",25,11,4.615416917079131,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.23599999999999932}",25,18,11.920640214562045,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
